member_id,last_name,first_name,suffix,expiration,email,street,city,state,zip,phone,interests
1,Solow,Jeanne,NULL,2013-11-15,jeanne_s@earth.com,"16 Ludden Dr.",Austin,TX,33347,964-665-8735,"Great Depression,Spanish-American War,Westward movement,Civil Rights,Sports"
2,Lundsten,August,NULL,2015-08-11,august.lundsten@pluto.com,"13 O'Malley St.",Bogalusa,LA,96127,196-481-0897,"Korean War,World War I,Civil Rights"
3,Erdmann,Kay,NULL,2013-01-14,NULL,"42 Fremont Av.",Grenada,MI,44953,493-610-3215,"Education,Roosevelt,Presidential politics"
4,Arbogast,Ruth,NULL,2015-02-10,arbogast.ruth@mars.net,"95 Carnwood Rd.",Paris,IL,31483,539-907-5225,"Colonial period,Social Security,Constitution,Lincoln,Gold rush"
5,Dorfman,Carol,NULL,2016-09-15,c.dorfman@uranus.net,"21 Winnemac Av.",Trenton,MO,99887,597-290-3955,"Revolutionary War,Cold War,immigration"
6,Eliason,Jessica,NULL,2013-12-27,jessica.eliason@pluto.com,"60 Century Av.",Osborne,KS,63198,896-268-0569,"World War I,Korean War"
7,Sawyer,Dennis,NULL,2014-11-21,s_dennis@jupiter.com,"48 Jenifer St.",Denver,CO,23728,775-983-4182,"Industrial revolution,Great Depression,Armed services,Education"
8,Phillips,Donald,III,2013-03-05,d_phillips@neptune.org,"13 Lake St.","San Antonio",TX,87154,898-166-9341,"Revolutionary War,Abolition,Armed services,Lincoln,Gold rush"
9,Anderson,Marcia,NULL,2014-02-10,NULL,"31 Bigelow Rd.","Cedar Rapids",IA,45150,445-539-3384,"Armed services,immigration,Gold rush,Cold War,Education"
10,Kilgore,Leonard,NULL,2016-05-09,NULL,"19 Pagelow Ln.",Beloit,WI,16235,963-699-2715,"Spanish-American War,Founding fathers,World War I,Presidential politics"
11,Lederman,Judith,NULL,2017-07-09,judith_lederman@mercury.net,"218 N. Sherman Av.",Appleton,WI,63330,380-077-6632,"World War II,Great Depression,War of 1812,Spanish-American War,Vietnam War"
12,Bodell,Bonnie,NULL,2015-02-10,NULL,"674 Marledge St.",Geneva,IL,34619,790-449-4910,"War of 1812,Spanish-American War,Korean War,World War I,Constitution"
13,Reusch,Diane,NULL,2013-03-14,reusch_d@venus.org,"111 Dogwood Pl.",Burlington,IL,03211,964-681-8054,"Vietnam War,Roosevelt"
14,Hilby,Bernard,NULL,2014-06-04,bernard.hilby@saturn.org,"111 West St.",Clinton,IA,46161,333-263-2057,"Westward movement,Cold War"
15,Propper,Harvey,NULL,2014-04-03,harvey_propper@pluto.com,"853 Van Hise Av.",Lansing,MI,39980,184-832-6901,"Industrial revolution,Founding fathers,Great Depression,Constitution,Presidential politics"
16,Michaels,Amanda,NULL,2015-10-01,NULL,"805 Chase Blvd.","South Bend",IN,58751,295-458-1334,"Abolition,Roosevelt,Vietnam War,Social Security"
17,Hagler,Carolyn,NULL,2016-10-13,hagler.c@mars.net,"834 Woods Edge Rd.","Fort Wayne",IN,65594,828-991-7354,"Lincoln,Civil Rights,Gold rush,Revolutionary War,Civil War"
18,York,Mark,II,2012-08-24,york_mark@earth.com,"449 Meyer Av.",Peoria,IL,90108,845-137-2175,"Cold War,immigration"
19,Feit,Daniel,NULL,2014-05-04,daniel.feit@pluto.com,"181 E. Washington Av.",Stockton,CA,90255,167-064-7158,"Colonial period,Vietnam War,Korean War,Presidential politics"
20,Overland,Roland,NULL,NULL,NULL,"949 Mineral Point Rd.",Minot,ND,45600,232-732-1438,"Gold rush,immigration,Spanish-American War"
21,Lacke,Bruce,NULL,2012-10-10,NULL,"617 West Lawn Av.",Aberdeen,SD,97919,171-132-0360,"Vietnam War,Education"
22,Hurst,Sally,NULL,2013-12-31,hurst.s@mars.net,"201 Laurel Ln.",Warren,MN,37373,553-257-4344,"Spanish-American War"
23,Pitas,Clifton,NULL,2016-02-22,clifton_p@saturn.org,"713 Quincy Av.",Duluth,MN,84708,857-652-7766,"Industrial revolution,Great Depression,Armed services"
